unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
AFG,2020,1,10248,1150,168,4
AFG,2020,2,2461643,69638,31279,735
AFG,2020,3,8672233,38681,7909,723
AFG,2020,4,12748197,56159,12976,727
AFG,2021,1,22413288,170337,4124,295
AFG,2021,2,37157913,231165,62205,2387
AFG,2021,3,66163025,191773,36515,2333
AFG,2021,4,72255070,62084,2910,152
AFG,2022,1,78006584,101539,19669,314
AFG,2022,2,12057601,9204,510,6
AGO,2020,1,784,231,7,2
AGO,2020,2,589317,22664,277,11
AGO,2020,3,5120215,44728,4688,170
AGO,2020,4,13743847,232749,12581,225
AGO,2021,1,32644654,128119,4758,132
AGO,2021,2,48755634,206432,16538,363
AGO,2021,3,77592794,359472,17734,637
AGO,2021,4,105732282,274485,25010,233
AGO,2022,1,125568704,225239,17576,130
AGO,2022,2,19480443,5676,25,0
ALB,2020,1,0,0,243,15
ALB,2020,2,1150607,26663,2292,47
ALB,2020,3,4904291,61377,11114,325
ALB,2020,4,13659441,135744,44667,794
ALB,2021,1,36447681,326176,66841,1054
ALB,2021,2,61809302,251024,7364,221
ALB,2021,3,90639876,397170,37610,242
ALB,2021,4,123982500,280405,40093,519
ALB,2022,1,151256030,286783,63453,275
ALB,2022,2,23149620,18349,595,2
AND,2020,1,0,0,376,12
AND,2020,2,0,0,479,40
AND,2020,3,0,0,1195,1
AND,2020,4,0,0,5999,31
AND,2021,1,12044423,168244,3961,31
AND,2021,2,16854531,28538,1901,12
AND,2021,3,18962925,17312,1311,3
AND,2021,4,21232084,52716,8518,10
AND,2022,1,26443962,33497,16284,15
AND,2022,2,3903991,0,304,0
ARE,2020,1,2095000,0,664,6
ARE,2020,2,154053848,3131566,48003,309
ARE,2020,3,524831167,5893410,45523,104
ARE,2020,4,1325320115,11037151,113632,250
ARE,2021,1,2567142855,17411921,253622,828
ARE,2021,2,4311454444,20136629,171463,314
ARE,2021,3,6478493935,26239703,103085,286
ARE,2021,4,8859255725,24952124,25945,67
ARE,2022,1,11659507344,39149652,129363,138
ARE,2022,2,1947913854,3268975,2886,0
ARG,2020,1,37851,5651,1054,27
ARG,2020,2,11435531,346751,63476,1280
ARG,2020,3,94834334,1625911,686471,15630
ARG,2020,4,338989385,2704997,874513,26308
ARG,2021,1,605963071,4197170,723307,12613
ARG,2021,2,1147779098,7815191,2121553,38446
ARG,2021,3,1893272201,7158028,786528,20875
ARG,2021,4,2364966489,4258968,397506,1990
ARG,2022,1,2964642600,7288315,3383503,10850
ARG,2022,2,461964567,256490,18292,249
ARM,2020,1,23936,3065,532,3
ARM,2020,2,4091698,108779,25010,440
ARM,2020,3,17487732,180349,24817,516
ARM,2020,4,41699130,291451,109050,1864
ARM,2021,1,62721457,270185,33230,692
ARM,2021,2,93842267,331173,32456,999
ARM,2021,3,132355402,466452,36602,805
ARM,2021,4,165027282,159677,83233,2655
ARM,2022,1,237855040,1164092,77589,641
ARM,2022,2,38883723,30488,172,8
ATA,2020,1,0,0,0,0
ATA,2020,2,0,0,0,0
ATA,2020,3,0,0,0,0
ATA,2020,4,0,0,0,0
ATA,2021,1,0,0,0,0
ATA,2021,2,0,0,0,0
ATA,2021,3,0,0,0,0
ATA,2021,4,0,0,11,0
ATA,2022,1,0,0,0,0
ATA,2022,2,0,0,0,0
ATG,2020,1,0,0,7,0
ATG,2020,2,5005,57,62,3
ATG,2020,3,5244,0,33,0
ATG,2020,4,134930,5727,58,2
ATG,2021,1,950540,7829,977,23
ATG,2021,2,1312871,3087,128,14
ATG,2021,3,1536400,0,1968,37
ATG,2021,4,1536400,0,1052,40
ATG,2022,1,1503000,0,3208,16
ATG,2022,2,217100,0,32,0
AUS,2020,1,2482739,245623,4559,18
AUS,2020,2,99498359,2210359,3361,87
AUS,2020,3,477916038,5181421,19176,784
AUS,2020,4,863288715,3457763,1329,21
AUS,2021,1,1226130730,4478742,897,0
AUS,2021,2,1616995460,5071697,1321,1
AUS,2021,3,2625962161,17160708,76538,403
AUS,2021,4,4222634412,17113339,318315,942
AUS,2022,1,5574027890,11587248,4177000,3755
AUS,2022,2,875235691,1411162,634584,640
AUT,2020,1,503286,52344,10180,128
AUT,2020,2,31893844,560412,7586,577
AUT,2020,3,96487148,1005231,27047,95
AUT,2020,4,247289065,2139250,316002,5424
AUT,2021,1,1129858686,19694284,185414,3117
AUT,2021,2,3431543988,31644756,104183,1365
AUT,2021,3,6574247213,32088542,92683,317
AUT,2021,4,9602917850,36394390,535524,2724
AUT,2022,1,13462316294,52038078,2552429,2132
AUT,2022,2,2316559305,4236025,173021,421
AZE,2020,1,0,0,298,5
AZE,2020,2,21130957,482170,17226,208
AZE,2020,3,75080797,633578,22705,378
AZE,2020,4,145191696,1037814,178471,2050
AZE,2021,1,225956612,720096,43013,926
AZE,2021,2,306265338,875645,74334,1407
AZE,2021,3,392406817,1109712,147855,1551
AZE,2021,4,493997125,1004870,133045,1833
AZE,2022,1,570986251,837788,174985,1334
AZE,2022,2,87496145,53530,357,11
BDI,2020,1,0,0,2,0
BDI,2020,2,57525,2359,168,1
BDI,2020,3,1731411,35163,338,0
BDI,2020,4,4460549,39440,310,1
BDI,2021,1,8760011,39832,1992,4
BDI,2021,2,23336542,203502,2642,2
BDI,2021,3,44135852,426615,12276,30
BDI,2021,4,78493456,340106,9638,0
BDI,2022,1,122015852,369638,11143,0
BDI,2022,2,19067591,14839,189,0
BEL,2020,1,617614,58192,12775,705
BEL,2020,2,43217947,897411,48652,9042
BEL,2020,3,174611076,2202219,57025,386
BEL,2020,4,479445434,3226995,528044,9512
BEL,2021,1,793035395,7860768,235957,3488
BEL,2021,2,1203075255,4116580,202678,2157
BEL,2021,3,1638983858,4791114,159823,429
BEL,2021,4,2143180322,7209216,860389,2729
BEL,2022,1,2754284816,5519631,1745705,2495
BEL,2022,2,429413336,500067,92783,253
BEN,2020,1,0,0,9,0
BEN,2020,2,821615,20014,1399,21
BEN,2020,3,6616634,137945,1158,20
BEN,2020,4,25001376,221801,894,3
BEN,2021,1,41036900,205000,3849,46
BEN,2021,2,57004070,55826,1099,14
BEN,2021,3,58933912,0,15691,55
BEN,2021,4,58933912,0,1045,2
BEN,2022,1,55258524,-36276,2017,2
BEN,2022,2,7856030,0,0,0
BFA,2020,1,377,99,261,14
