unit,timee,pop,cap_new_cases,cap_new_deaths,cap_new_tests
AFG,2020-01,38928,0,0,0
AFG,2020-02,38928,5.31724E-06,0,0
AFG,2020-03,38928,8.95258E-05,8.29032E-07,0.000858439
AFG,2020-04,38928,0.001244204,4.02633E-05,0.006793739
AFG,2020-05,38928,0.009615767,0.000156635,0.021183856
AFG,2020-06,38928,0.015013187,0.0003964,0.030376593
AFG,2020-07,38928,0.004749877,0.000469839,0.014469227
AFG,2020-08,38928,0.001482505,0.000110239,0.012163067
AFG,2020-09,38928,0.000934202,4.54033E-05,0.006932456
AFG,2020-10,38928,0.001442687,5.55645E-05,0.008826054
AFG,2020-11,38928,0.003935471,0.000179023,0.020660364
AFG,2020-12,38928,0.005271933,0.00036129,0.046090052
AFG,2021-01,38928,0.002380739,0.000188971,0.037764508
AFG,2021-02,38928,0.000734834,3.94679E-05,0.041741897
AFG,2021-03,38928,0.000532903,2.98452E-05,0.041347633
AFG,2021-04,38928,0.002480648,0.000110543,0.047716297
AFG,2021-05,38928,0.008329687,0.000236355,0.07396865
AFG,2021-06,38928,0.038558364,0.001520786,0.095797369
AFG,2021-07,38928,0.025847553,0.001586885,0.083537184
AFG,2021-08,38928,0.00621992,0.000441746,0.042675146
AFG,2021-09,38928,0.001765653,8.48167E-05,0.008090149
AFG,2021-10,38928,0.000913992,5.55516E-05,0.01036819
AFG,2021-11,38928,0.000885379,3.25533E-05,0.015214413
AFG,2021-12,38928,0.000671076,3.89645E-05,0.024207636
AFG,2022-01,38928,0.002800024,3.97935E-05,0.029632871
AFG,2022-02,38928,0.010827682,0.000162518,0.03071146
AFG,2022-03,38928,0.003661847,6.79516E-05,0.025675192
AFG,2022-04,38928,0.00104531,2.17462E-05,0.021813447
AGO,2020-01,32866,0,0,0
AGO,2020-02,32866,0,0,0
AGO,2020-03,32866,3.92258E-06,0,0.000238487
AGO,2020-04,32866,2.23033E-05,0,0.003610621
AGO,2020-05,32866,4.71097E-05,0,0.004419706
AGO,2020-06,32866,0.00017052,2.02667E-06,0.014910039
AGO,2020-07,32866,0.000763618,3.53226E-05,0.03337207
AGO,2020-08,32866,0.001429061,0.0000599,0.01244349
AGO,2020-09,32866,0.002290107,0.00006392,0.005689771
AGO,2020-10,32866,0.005254965,0.000104145,0.063926246
AGO,2020-11,32866,0.004955476,6.79733E-05,0.057442341
AGO,2020-12,32866,0.002287883,6.08774E-05,0.105161133
AGO,2021-01,32866,0.002304568,6.0871E-05,0.045420014
AGO,2021-02,32866,0.001120365,4.12893E-05,0.037851753
AGO,2021-03,32866,0.00137117,0.0000304,0.03791839
AGO,2021-04,32866,0.00396864,0.00005478,0.067872573
AGO,2021-05,32866,0.007696943,0.000163048,0.084906846
AGO,2021-06,32866,0.004749589,0.00013703,0.061838983
AGO,2021-07,32866,0.003685542,0.000106155,0.160185151
AGO,2021-08,32866,0.004673915,0.000194355,0.096805602
AGO,2021-09,32866,0.008645206,0.000320467,0.088310108
AGO,2021-10,32866,0.008474293,0.000191471,0.114709191
AGO,2021-11,32866,0.000937125,2.53533E-05,0.073622183
AGO,2021-12,32866,0.010578605,2.06129E-05,0.082828023
AGO,2022-01,32866,0.021623484,0.000135471,0.105085558
AGO,2022-02,32866,0.0008291,1.08571E-06,0.056830333
AGO,2022-03,32866,0.000416226,0,0.069350029
AGO,2022-04,32866,0.000159231,0,0.020292189
ALB,2020-01,2878,0,0,0
ALB,2020-02,2878,0,0,0
ALB,2020-03,2878,0.002208062,7.83548E-05,0
ALB,2020-04,2878,0.006219597,0.0001388,0.081005328
ALB,2020-05,2878,0.003788473,2.23871E-05,0.088098814
ALB,2020-06,2878,0.014547139,0.000196733,0.121438499
ALB,2020-07,2878,0.029713735,0.001042405,0.154867852
ALB,2020-08,2878,0.046885158,0.001412271,0.232195297
ALB,2020-09,2878,0.04764883,0.001227717,0.291533472
ALB,2020-10,2878,0.075668587,0.001277774,0.371920465
ALB,2020-11,2878,0.187792448,0.003231411,0.755883716
ALB,2020-12,2878,0.229684593,0.00433769,0.795467282
ALB,2021-01,2878,0.209924006,0.002129615,1.037548477
ALB,2021-02,2878,0.357415864,0.004777623,1.241052814
