unit,timee,new_tests_orig,new_cases_orig,new_deaths_orig
AFG,2020-01,0,0,0
AFG,2020-02,0,5,0
AFG,2020-03,1150,163,4
AFG,2020-04,8874,1661,56
AFG,2020-05,28436,13353,194
AFG,2020-06,32328,16265,485
AFG,2020-07,16119,5183,536
AFG,2020-08,15691,1620,131
AFG,2020-09,6871,1106,56
AFG,2020-10,11445,1980,71
AFG,2020-11,22551,4881,230
AFG,2020-12,22163,6115,426
AFG,2021-01,68825,2693,211
AFG,2021-02,47796,691,43
AFG,2021-03,53716,740,41
AFG,2021-04,52795,3291,141
AFG,2021-05,24038,12093,319
AFG,2021-06,154332,46821,1927
AFG,2021-07,140252,28495,1837
AFG,2021-08,44386,6066,410
AFG,2021-09,7135,1954,86
AFG,2021-10,15326,1076,76
AFG,2021-11,18921,1039,28
AFG,2021-12,27837,795,48
AFG,2022-01,0,4848,58
AFG,2022-02,70940,10733,184
AFG,2022-03,30599,4088,72
AFG,2022-04,9204,510,6
AGO,2020-01,0,0,0
AGO,2020-02,0,0,0
AGO,2020-03,231,7,2
AGO,2020-04,0,20,0
AGO,2020-05,9661,59,2
AGO,2020-06,13003,198,9
AGO,2020-07,28296,864,39
AGO,2020-08,16432,1506,56
AGO,2020-09,0,2318,75
AGO,2020-10,73044,5833,104
AGO,2020-11,30580,4334,64
AGO,2020-12,129125,2414,57
AGO,2021-01,49357,2243,61
AGO,2021-02,19803,1011,42
AGO,2021-03,58959,1504,29
AGO,2021-04,68251,4341,59
AGO,2021-05,90856,7899,170
AGO,2021-06,47325,4298,134
AGO,2021-07,172606,3928,111
AGO,2021-08,96423,4767,206
AGO,2021-09,90443,9039,320
AGO,2021-10,110518,7850,173
AGO,2021-11,76180,735,23
AGO,2021-12,87787,16425,37
AGO,2022-01,99374,16523,125
AGO,2022-02,55757,625,5
AGO,2022-03,70108,428,0
AGO,2022-04,5676,25,0
ALB,2020-01,0,0,0
ALB,2020-02,0,0,0
ALB,2020-03,0,243,15
ALB,2020-04,8253,530,16
ALB,2020-05,7697,364,2
ALB,2020-06,10713,1398,29
ALB,2020-07,14036,2741,95
ALB,2020-08,22138,4237,127
ALB,2020-09,25203,4136,103
ALB,2020-10,2098,7226,122
ALB,2020-11,98358,17307,301
ALB,2020-12,35288,20134,371
ALB,2021-01,134709,19811,199
